"burchtID";"Jaar";"status";"bewoning";"Gebied"
100;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
100;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
101;2016;"Bijburcht";"Bewoond";"Haspengouw"
102;2017;"Verdwenen";"Niet_bewoond";"Haspengouw"
102;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
103;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
104;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
105;2018;"Ongekend";"Niet_bewoond";"Haspengouw"
108;2017;"Bijburcht";"Bewoond";"Haspengouw"
108;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
109;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
110;2018;"Bijburcht";"Bewoond";"Haspengouw"
112;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
112;2016;"Bijburcht";"Bewoond";"Haspengouw"
113;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
113;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
113;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
113;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
114;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
114;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
115;2016;"Bijburcht";"Bewoond";"Haspengouw"
116;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
116;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
117;2018;"Bijburcht";"Bewoond";"Haspengouw"
118;2018;"Bijburcht";"Bewoond";"Haspengouw"
119;2018;"Bijburcht";"Bewoond";"Haspengouw"
120;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
122;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
123;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
124;2016;"Bijburcht";"Bewoond";"Haspengouw"
125;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
126;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
127;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
128;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
129;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
130;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
131;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
131;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
132;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
133;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
133;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
134;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
135;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
136;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
141;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
142;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
143;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
144;2016;"Bijburcht";"Bewoond";"Haspengouw"
229;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
229;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
230;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
231;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
232;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
233;2016;"Bijburcht";"Bewoond";"Haspengouw"
234;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
234;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
234;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
235;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
236;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
237;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
238;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
239;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
240;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
241;2016;"Bijburcht";"Bewoond";"Haspengouw"
242;2016;"Bijburcht";"Bewoond";"Haspengouw"
242;2017;"Bijburcht";"Bewoond";"Haspengouw"
243;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
243;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
243;2018;"Verdwenen";"Niet_bewoond";"Haspengouw"
244;2016;"Bijburcht";"Bewoond";"Haspengouw"
245;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
246;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
246;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
247;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
248;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
249;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
249;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
249;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
250;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
250;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
251;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
251;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
252;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
253;2018;"Bijburcht";"Bewoond";"Haspengouw"
254;2016;"Ongekend";"Ongekend";"Haspengouw"
254;2018;"Bijburcht";"Bewoond";"Haspengouw"
255;2018;"Bijburcht";"Bewoond";"Haspengouw"
256;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
257;2018;"Bijburcht";"Bewoond";"Haspengouw"
258;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
259;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
260;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
261;2018;"Bijburcht";"Bewoond";"Haspengouw"
262;2018;"Bijburcht";"Bewoond";"Haspengouw"
263;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
264;2018;"Bijburcht";"Bewoond";"Haspengouw"
265;2016;"Bijburcht";"Bewoond";"Haspengouw"
265;2017;"Bijburcht";"Bewoond";"Haspengouw"
266;2016;"Verdwenen";"Ongekend";"Haspengouw"
267;2018;"Bijburcht";"Bewoond";"Haspengouw"
268;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
269;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
269;2016;"Bijburcht";"Bewoond";"Haspengouw"
269;2016;"Ongekend";"Ongekend";"Haspengouw"
270;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
270;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
271;2016;"Bijburcht";"Bewoond";"Haspengouw"
272;2016;"Bijburcht";"Bewoond";"Haspengouw"
273;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
274;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
275;2018;"Bijburcht";"Niet_bewoond";"Haspengouw"
275;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
276;2016;"Bijburcht";"Bewoond";"Haspengouw"
276;2018;"Bijburcht";"Bewoond";"Haspengouw"
276;2017;"Bijburcht";"Bewoond";"Haspengouw"
277;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
277;2016;"Bijburcht";"Bewoond";"Haspengouw"
278;2018;"Bijburcht";"Bewoond";"Haspengouw"
278;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
279;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
279;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
280;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
280;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
